SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-PHL-017349/2022,OQ921148.1
USA/WA-PHL-031581/2022,PQ403840.1
USA/WA-CDC-LC0455081/2021,OM271446.1
USA/WA-PHL-027140/2022,OQ781991.1
USA/WA-CDC-UW21112389507/2021,OL720281.1
USA/WA-PHL-021013/2022,PQ389519.1
USA/WA-CDC-UW21081542846/2021,OK068343.1
USA/WA-CDC-UW21051150468/2021,MZ293649.1
USA/WA-PHL-027659/2022,OQ780150.1
USA/WA-S18907/2022,ON052864.1
USA/WA-CDC-UW21081923052/2021,OK095920.1
USA/WA-UW-21111624093/2021,OL965311.1
USA/WA-CDC-UW21120829668/2021,OL914080.1
USA/WA-UW-21100458382/2021,OK635869.1
USA/WA-CDC-UW21082698900/2021,OK110671.1
USA/WA-S20643/2022,ON795019.1
USA/WA-UW-29809/2020,MZ224394.1
USA/WA-CDC-UW21122117952/2021,OM214078.1
USA/WA-UW-21050805104/2021,MZ328891.1
USA/WA-CDC-QDX41593218/2022,OP576412.1
USA/WA-UW-21042282985/2021,MZ171940.1
USA/WA-UW-22082221160/2022,OP443662.1
USA/WA-PHL-016714/2022,PQ400726.1
USA/WA-CDC-LC0735053/2022,ON940042.1
USA/WA-PHL-004250/2021,PP629053.1
USA/WA-S17836/2021,OM569836.1
USA/WA-CDC-LC0039715/2021,OK232581.1
USA/WA-CDC-UW21072002901/2021,OK111709.1
USA/WA-UW-23022221623/2023,OQ625669.1
USA/WA-UW-21071214737/2021,MZ664470.1
USA/WA-UW-21071269079/2021,MZ711489.1
USA/WA-S21326/2022,OP252690.1
USA/WA-PHL-016637/2022,PQ400656.1
USA/WA-CDC-LC0711537/2022,ON871577.1
USA/WA-PHL-004458/2021,PQ171543.1
USA/WA-PHL-011519/2022,PP631719.1
USA/WA-CDC-ASC210683451/2022,OM561296.1
USA/WA-S675/2020,MT641642.1
USA/WA-PHL-030061/2020,PQ414244.1
USA/WA-PHL-017997/2022,OQ920343.1
USA/WA-CDC-UW21050336197/2021,MZ257694.1
USA/WA-CDC-LC0345476/2021,OL395917.1
USA/WA-PHL-009143/2021,PQ173693.1
USA/WA-UW-21042068457/2021,MZ232690.1
USA/WA-CDC-UW21111113071/2021,OL597521.1
USA/WA-PHL-025124/2022,PP786954.1
USA/WA-UW-22110398103/2022,OP939553.1
USA/WA-S21183/2022,ON981344.1
USA/WA-S18205/2022,OM676327.1
USA/WA-CDC-UW22052233342/2022,ON691851.1
USA/WA-S1261/2020,MT821714.1
USA/WA-UW-22090137650/2022,OP602004.1
USA/WA-CDC-UW22122480218/2022,OQ339078.1
USA/WA-PHL-019722/2022,OQ982272.1
USA/WA-CDC-UW21122818487/2021,OM232671.1
USA/WA-CDC-UW22100556830/2022,OP778604.1
USA/WA-UW-21122962088/2021,OM510128.1
USA/WA-PHL-023878/2022,PQ370642.1
USA/WA-S11819/2021,OK374897.1
USA/WA-CDC-UW21120226198/2021,OL825433.1
USA/WA-UW-22051188870/2022,ON678447.1
USA/WA-CDC-UW22071047253/2022,OP102719.1
USA/WA-PHL-029038/2022,PQ387229.1
USA/WA-S4808/2021,MW685769.2
USA/WA-CDC-LC0499846/2022,OM498165.1
USA/WA-UW-62828/2021,MZ235714.1
USA/WA-S7322/2021,MZ222590.1
USA/WA-CDC-UW21052241184/2021,MZ357484.1
USA/WA-PHL-032050/2023,OQ836046.1
USA/WA-UW-21102824524/2021,OL606986.1
USA/WA-S1153/2020,MT642114.1
USA/WA-CDC-LC0909005/2022,OP671172.1
USA/WA-CDC-UW22080961189/2022,OP303468.1
USA/WA-CDC-FG-082077/2021,MZ928917.1
USA/WA-CDC-LC0475698/2022,OM343686.1
USA/WA-CDC-UW21072493362/2021,OK111527.1
USA/WA-PHL-009274/2021,PQ173821.1
USA/WA-PHL-009579/2021,PP631355.1
USA/WA-CDC-LC0608875/2022,ON498254.1
USA/WA-PHL-031876/2022,OQ835969.1
USA/WA-S377/2020,MT633007.1
USA/WA-UW-22040748173/2022,ON412703.1
USA/WA-CDC-UW22040162916/2022,ON376475.1
USA/WA-PHL-009007/2021,PP631076.1
USA/WA-CDC-UW22021514715/2022,OM901023.1
USA/WA-CDC-LC0721131/2022,ON895231.1
USA/WA-S16940/2022,OM457878.1
USA/WA-CDC-UW21090773340/2021,OK301851.1
USA/WA-CDC-UW21051211922/2021,MZ319667.1
USA/WA-UW-21041669969/2021,MZ232924.1
USA/WA-UW-22062181500/2022,ON987084.1
USA/WA-UW-23062961455/2023,OR293351.1
USA/WA-PHL-006822/2021,PP630318.1
USA/WA-CDC-UW21091626771/2021,OK379551.1
USA/WA-CDC-LC0654301/2022,ON702697.1
USA/WA-UW-22050108572/2022,ON553540.1
USA/WA-UW-21111972517/2021,OL965211.1
USA/WA-PHL-029410/2020,PQ413967.1
USA/WA-PHL-010328/2022,PQ174459.1
USA/WA-CDC-UW22020903633/2022,OM753384.1
USA/WA-UW-2021040207397/2021,MZ236567.1
USA/WA-CDC-LC0271454/2021,OK308076.1
USA/WA-S23932/2023,OR597202.1
USA/WA-S11097/2021,OK137482.1
USA/WA-PHL-028139/2022,OQ785240.1
USA/WA-UW-23012046882/2023,OQ377945.1
USA/WA-PHL-003147/2021,PP628564.1
USA/WA-UW-4024/2020,MT461608.1
USA/WA-CDC-UW21091790419/2021,OK379656.1
USA/WA-PHL-013489/2022,OQ876311.1
USA/WA-UW-22042412058/2022,ON548567.1
USA/WA-UW-22040278940/2022,ON380965.1
USA/WA-CDC-UW22051872446/2022,ON688766.1
USA/WA-PHL-030560/2022,PP787886.1
USA/WA-CDC-UW23032277711/2023,OQ833313.1
USA/WA-CDC-FG-096359/2021,OK068899.1
USA/WA-CDC-LC0740348/2022,ON948340.1
USA/WA-CDC-UW21111520024/2021,OL825141.1
USA/WA-CDC-UW21090898852/2021,OK301726.1
USA/WA-UW-2021033101260/2021,MZ238166.1
USA/WA-S18996/2022,ON052936.1
USA/WA-S7921/2021,MZ388213.1
USA/WA-PHL-032568/2023,PQ372539.1
USA/WA-UW-67434/2021,MZ238148.1
USA/WA-CDC-UW22022111956/2022,OM956658.1
USA/WA-CDC-UW22012337404/2022,OM570691.1
USA/WA-CDC-UW21090921208/2021,OK301665.1
USA/WA-UW-23060694745/2023,OR214754.1
USA/WA-CDC-LC0263678/2021,OK276116.1
USA/WA-PHL-013906/2022,PQ176230.1
USA/WA-PHL-013556/2022,OQ876374.1
USA/WA-CDC-LC0965374/2022,OQ157737.1
USA/WA-S1057/2020,MT642207.1
USA/WA-UW-21092167411/2021,OK555113.1
USA/WA-CDC-UW21062453012/2021,MZ532334.1
USA/WA-PHL-003154/2021,PP628571.1
USA/WA-S15699/2021,OM003842.1
USA/WA-UW-2021040104356/2021,MZ236747.1
USA/WA-CDC-UW21101425434/2021,OK640730.1
USA/WA-CDC-VSX-A241483/2023,PP038935.1
USA/WA-PHL-024629/2022,OP596974.1
USA/WA-CDC-UW21121082014/2021,OM004374.1
USA/WA-UW-21092850038/2021,OK557041.1
USA/WA-CDC-LC0771306/2022,OP026803.1
USA/WA-UW-1890/2020,MT326069.1
USA/WA-CDC-UW23021154153/2023,OQ472760.1
USA/WA-PHL-021157/2022,PQ389627.1
USA/WA-UW-21051574787/2021,MZ394464.1
USA/WA-CDC-UW22102290339/2022,OP788263.1
USA/WA-S3168/2020,MW474330.1
USA/WA-CDC-FG-081934/2021,MZ928972.1
USA/WA-S20785/2022,ON810221.1
USA/WA-PHL-019477/2022,OQ720875.1
USA/WA-CDC-UW21081484860/2021,OK068358.1
USA/WA-CDC-UW22020903847/2022,OM900708.1
USA/WA-S16442/2021,OM363837.1
USA/WA-CDC-UW21081785250/2021,OK068207.1
USA/WA-CDC-LC0445977/2021,OM176216.1
USA/WA-PHL-014932/2022,PQ400382.1
USA/WA-CDC-UW23011638215/2023,OQ352915.1
USA/WA-S9187/2021,MZ513662.1
USA/WA-CDC-FG-150178/2021,OK614293.1
USA/WA-PHL-012159/2021,PP468025.1
USA/WA-CDC-UW21071852634/2021,MZ754629.1
USA/WA-PHL-027753/2022,OQ780204.1
USA/WA-UW-2021041006174/2021,MZ240053.1
USA/WA-UW-2021041432631/2021,MZ240530.1
USA/WA-UW-2021041258975/2021,MZ231832.1
USA/WA-CDC-LC0574185/2022,ON295695.1
USA/WA-PHL-012304/2022,PP468166.1
USA/WA-S20534/2022,ON794918.1
USA/WA-UW-22102240921/2022,OP823946.1
USA/WA-CDC-LC0740382/2022,ON948215.1
USA/WA-UW-21090324170/2021,OK332849.1
USA/WA-PHL-010089/2022,PQ174241.1
USA/WA-UW-21071297935/2021,MZ711519.1
USA/WA-S20336/2022,ON660846.1
USA/WA-PHL-017681/2022,OQ917844.1
USA/WA-CDC-UW21072491168/2021,OK111521.1
USA/WA-UW-22092137092/2022,OP678532.1
USA/WA-PHL-023929/2022,PQ370675.1
USA/WA-PHL-026090/2022,PP787423.1
USA/WA-UW-2021032903347/2021,MZ238201.1
USA/WA-UW-22121555162/2022,OQ201817.1
USA/WA-CDC-UW22032180355/2022,ON140832.1
USA/WA-CDC-LC0385555/2021,OL684085.1
USA/WA-CDC-LC0329237/2021,OK612757.1
USA/WA-UW-22041740367/2022,ON412655.1
USA/WA-CDC-LC0852469/2022,OP350458.1
USA/WA-CDC-UW21120216671/2021,OL884600.1
USA/WA-UW-21080799703/2021,OK229860.1
USA/WA-UW-3983/2020,MT358730.1
USA/WA-UW-22093005496/2022,OP715994.1
USA/WA-PHL-028389/2020,PQ413167.1
USA/WA-PHL-019267/2022,OQ720811.1
USA/WA-CDC-UW21073160020/2021,MZ967774.1
USA/WA-S11064/2021,OK137449.1
USA/WA-S15371/2021,OL904166.1
USA/WA-CDC-FG-096106/2021,OK068926.1
USA/WA-PHL-032995/2023,PQ386181.1
USA/WA-CDC-UW22020829497/2022,OM841805.1
USA/WA-PHL-012074/2022,PQ175462.1
USA/WA-S6116/2021,MZ033291.1
USA/WA-S5422/2021,MW774006.1
USA/WA-UW-23111822309/2023,PP035874.1
USA/WA-CDC-LC0786676/2022,OP109548.1
USA/WA-CDC-UW21061816816/2021,MZ477948.1
USA/WA-CDC-UW21111536489/2021,OL825122.1
USA/WA-CDC-LC0925366/2022,OP808681.1
USA/WA-S8444/2021,MZ453710.1
USA/WA-PHL-033329/2020,PQ414508.1
USA/WA-CDC-UW21121451661/2021,OM056239.1
USA/WA-CDC-LC0251098/2021,OK202279.1
USA/WA-CDC-QDX30129798/2021,OL349927.1
USA/WA-UW-22100843956/2022,OP823774.1
USA/WA-UW-22081372273/2022,OP457439.1
USA/WA-UW-22051152635/2022,ON627254.1
USA/WA-CDC-LC0919857/2022,OP764243.1
USA/WA-S13226/2021,OL333803.1
USA/WA-CDC-QDX32105062/2021,OM146965.1
USA/WA-UW-21071962168/2021,MZ713974.1
USA/WA-CDC-UW22040290522/2022,ON305101.1
USA/WA-CDC-LC0328278/2021,OK609329.1
USA/WA-CDC-UW22120392838/2022,OQ080105.1
USA/WA-S12684/2021,OK647653.1
USA/WA-S10537/2021,MZ976977.1
USA/WA-S10244/2021,MZ770071.1
USA/WA-PHL-022174/2022,PP478272.1
USA/WA-PHL-021034/2022,PQ389536.1
USA/WA-CDC-UW21073093439/2021,MZ788516.1
USA/WA-PHL-031309/2022,PP788356.1
USA/WA-CDC-UW21121485638/2021,OM056318.1
USA/WA-S1957/2020,MT831312.1
USA/WA-S10570/2021,MZ977009.1
USA/WA-UW-22101084678/2022,OP729443.1
USA/WA-CDC-UW21101733634/2021,OL360423.1
USA/WA-CDC-FG-096499/2021,OK142044.1
USA/WA-CDC-UW22091722258/2022,OP656351.1
USA/WA-UW-22072483008/2022,OP243017.1
USA/WA-UW-21041915018/2021,MZ232589.1
USA/WA-UW-21123095461/2021,OM510143.1
USA/WA-CDC-UW22121094884/2022,OQ130847.1
USA/WA-UW-22061874995/2022,ON987152.1
USA/WA-CDC-LC0988114/2023,OQ294596.1
USA/WA-PHL-009899/2021,PQ174149.1
USA/WA-S5989/2021,MW945358.1
USA/WA-PHL-030538/2020,PQ414449.1
USA/WA-CDC-UW21092540692/2021,OK448044.1
USA/WA-CDC-LC0687058/2022,ON769358.1
USA/WA-CDC-LC0417309/2021,OL884179.1
USA/WA-CDC-UW21091786095/2021,OK379666.1
USA/WA-CDC-UW23030736261/2023,OQ674598.1
USA/WA-PHL-004509/2021,PQ171591.1
USA/WA-CDC-ASC210318672/2021,OK628786.1
USA/WA-CDC-UW21121344104/2021,OM056165.1
USA/WA-S5161/2021,MW698986.2
USA/WA-CDC-UW22071873580/2022,OP164892.1
USA/WA-CDC-FG-141470/2021,OK446065.1
USA/WA-CDC-UW22032150842/2022,ON140879.1
USA/WA-PHL-002957/2021,PQ170578.1
USA/WA-S2450/2020,MT831595.1
USA/WA-CDC-QDX30041535/2021,OK667793.1
USA/WA-CDC-UW23081001340/2023,OR480823.1
USA/WA-S446/2020,MT632952.1
USA/WA-PHL-012253/2022,PP468116.1
USA/WA-PHL-000735/2021,PP697338.1
USA/WA-PHL-025762/2022,PP787303.1
USA/WA-CDC-UW21100369536/2021,OK534505.1
USA/WA-PHL-000823/2021,PP697420.1
USA/WA-CDC-UW21072210491/2021,OK111816.1
USA/WA-PHL-035285/2024,PP845918.1
USA/WA-PHL-000434/2021,PP697210.1
USA/WA-CDC-LC0900520/2022,OP660201.1
USA/WA-CDC-UW22071896411/2022,OP164919.1
USA/WA-UW-21050815408/2021,MZ328941.1
USA/WA-CDC-UW22071022700/2022,OP102734.1
USA/WA-S10490/2021,MZ976933.1
USA/WA-PHL-023764/2022,PQ370582.1
USA/WA-S12611/2021,OK546653.1
USA/WA-UW-21100527507/2021,OK635840.1
USA/WA-CDC-LC0499773/2022,OM497998.1
USA/WA-PHL-032161/2023,OQ836075.1
USA/WA-PHL-017725/2022,OQ917875.1
USA/WA-CDC-LC0573577/2022,ON296174.1
USA/WA-UW-67280/2021,MZ360796.1
USA/WA-UW-22051552242/2022,ON631641.1
USA/WA-PHL-032261/2023,PQ372264.1
USA/WA-CDC-UW22010134753/2022,OM341892.1
USA/WA-CDC-UW21080329164/2021,MZ882554.1
USA/WA-PHL-016686/2022,PQ400702.1
USA/WA-CDC-UW22051936383/2022,ON691703.1
USA/WA-CDC-UW22030739678/2022,ON056181.1
USA/WA-S20840/2022,ON810275.1
USA/WA-CDC-UW21122704462/2021,OM288760.1
USA/WA-CDC-LC0185485/2021,MZ993323.1
USA/WA-CDC-UW23100219170/2023,OR660551.1
USA/WA-PHL-022905/2022,OQ771827.1
USA/WA-PHL-026007/2022,PQ371549.1
USA/WA-CDC-LC0932853/2022,OP875866.1
USA/WA-UW-22072529226/2022,OP242511.1
USA/WA-CDC-UW21061150421/2021,MZ440991.1
USA/WA-S14558/2021,OL675872.1
USA/WA-S10332/2021,MZ770146.1
USA/WA-S23700/2023,OR509408.1
USA/WA-CDC-LC0686481/2022,ON769446.1
USA/WA-CDC-UW23011902132/2023,OQ353017.1
USA/WA-CDC-LC0916787/2022,OP736856.1
USA/WA-CDC-UW21121787425/2021,OM065623.1
USA/WA-CDC-UW22100542478/2022,OP778603.1
USA/WA-CDC-UW23022806085/2023,OQ619206.1
USA/WA-CDC-LC0252541/2021,OK203052.1
USA/WA-PHL-005714/2021,PQ172100.1
USA/WA-PHL-025970/2022,OQ779298.1
USA/WA-PHL-014529/2022,PQ176806.1
USA/WA-PHL-000989/2021,PP700815.1
USA/WA-CDC-UW21123049559/2021,OM269412.1
USA/WA-UW-21100500010/2021,OK635953.1
USA/WA-UW-22053071174/2022,ON740869.1
USA/WA-UW-22021620595/2022,ON140272.1
USA/WA-CDC-LC0011320/2021,MW985123.1
USA/WA-CDC-UW21073157668/2021,MZ967805.1
USA/WA-CDC-UW22010559419/2022,OM404166.1
USA/WA-PHL-027124/2022,OQ781979.1
USA/WA-S13857/2021,OL516241.1
USA/WA-PHL-016933/2022,OQ916606.1
USA/WA-CDC-LC0471363/2022,OM367289.1
USA/WA-PHL-031012/2022,PP788119.1
USA/WA-CDC-UW21072915197/2021,MZ788568.1
USA/WA-UW-21050736330/2021,MZ328980.1
USA/WA-CDC-UW21122495949/2021,OM188626.1
USA/WA-CDC-UW21111538592/2021,OL825136.1
USA/WA-PHL-031767/2022,OQ835882.1
USA/WA-CDC-ASC210344575/2021,OL431149.1
USA/WA-S7283/2021,MZ222558.1
USA/WA-CDC-UW24020520655/2024,PP388230.1
USA/WA-CDC-LC0841091/2022,OP307006.1
USA/WA-S18870/2022,OM955395.1
USA/WA-CDC-UW21101196268/2021,OK640475.1
USA/WA-PHL-001368/2021,PQ169710.1
USA/WA-S5106/2021,MW689104.2
USA/WA-CDC-LC0516020/2022,OM624842.1
USA/WA-UW-67927/2021,MZ360931.1
USA/WA-PHL-020348/2022,OQ989893.1
USA/WA-S10562/2021,MZ977001.1
USA/WA-PHL-001702/2021,PP627854.1
USA/WA-PHL-026132/2022,OQ779346.1
USA/WA-PHL-003879/2021,PQ171098.1
USA/WA-CDC-UW22040110215/2022,ON376552.1
USA/WA-PHL-021611/2022,OR414197.1
USA/WA-PHL-016911/2022,OQ916584.1
USA/WA-UW-22080278083/2022,OP457750.1
USA/WA-PHL-015392/2022,OQ873741.1
USA/WA-CDC-UW22082767592/2022,OP466762.1
USA/WA-CDC-UW21071529722/2021,MZ729388.1
USA/WA-CDC-UW22070315406/2022,ON999317.1
USA/WA-CDC-UW23081304736/2023,OR480847.1
USA/WA-CDC-FG-034360/2021,MZ287821.1
USA/WA-CDC-LC0300626/2021,OK453673.1
USA/WA-UW-23011162502/2023,OQ377657.1
USA/WA-S15131/2021,OL740957.1
USA/WA-S21496/2022,OP252806.1
USA/WA-CDC-UW21082633585/2021,OK110975.1
USA/WA-CDC-UW23022847400/2023,OQ619212.1
USA/WA-PHL-031428/2022,PQ403705.1
USA/WA-CDC-UW21082730140/2021,OK110880.1
USA/WA-UW-21111630120/2021,OL965185.1
USA/WA-UW-22042423755/2022,ON631543.1
USA/WA-CDC-LC0268955/2021,OK308559.1
USA/WA-PHL-012036/2022,PQ175425.1
USA/WA-PHL-032683/2023,PQ372644.1
USA/WA-S15411/2021,OL904206.1
USA/WA-CDC-LC0268256/2021,OK307797.1
USA/WA-PHL-016828/2022,OQ916509.1
USA/WA-CDC-UW21100224785/2021,OK616044.1
USA/WA-PHL-025453/2022,PP787017.1
USA/WA-CDC-UW22032438640/2022,ON222677.1
USA/WA-CDC-UW22022267515/2022,OM956765.1
USA/WA-CDC-ASC210544549/2022,OM619252.1
USA/WA-CDC-LC0568385/2022,ON152079.1
USA/WA-UW-22042121842/2022,ON550537.1
USA/WA-CDC-UW22110244196/2022,OP848463.1
USA/WA-UW-68482/2021,MZ232037.1
USA/WA-CDC-LC0181362/2021,MZ993120.1
USA/WA-UW-23051065843/2023,OR142228.1
USA/WA-CDC-UW22081139944/2022,OP376311.1
USA/WA-UW-21080297304/2021,OK178719.1
USA/WA-CDC-UW23032261399/2023,OQ833299.1
USA/WA-PHL-012225/2022,PP468088.1
USA/WA-CDC-UW22080801492/2022,OP303425.1
USA/WA-PHL-011813/2022,PQ175211.1
USA/WA-UW-21042940357/2021,MZ434074.1
USA/WA-CDC-LC0998697/2023,OQ364178.1
USA/WA-UW-2021033000089/2021,MZ238294.1
USA/WA-UW-23020522983/2023,OQ429383.1
USA/WA-UW-22071785240/2022,OP157082.1
USA/WA-CDC-UW23011017193/2023,OQ306749.1
USA/WA-UW-21042835058/2021,MZ394070.1
USA/WA-CDC-UW22122215565/2022,OQ338981.1
USA/WA-S3348/2020,MW493982.2
USA/WA-UW-22052545729/2022,ON711475.1
USA/WA-CDC-LC0345490/2021,OL396059.1
USA/WA-PHL-008089/2021,PQ173302.1
USA/WA-CDC-LC0876183/2022,OP462671.1
USA/WA-S16616/2022,OM445286.1
USA/WA-UW-23010981540/2023,OQ377701.1
USA/WA-CDC-UW21051378256/2021,MZ319556.1
USA/WA-CDC-QDX29691609/2021,OL349403.1
USA/WA-PHL-018453/2022,OQ755221.1
USA/WA-CDC-LC0756272/2022,OP000302.1
USA/WA-PHL-001285/2021,PQ169657.1
USA/WA-UW-22011051304/2022,OM569780.1
USA/WA-CDC-LC0659453/2022,ON658008.1
USA/WA-CDC-UW21081669992/2021,OK068249.1
USA/WA-S10773/2021,OK083402.1
USA/WA-PHL-024218/2022,PQ370928.1
USA/WA-PHL-032886/2023,PQ372681.1
USA/WA-PHL-010429/2022,PQ174558.1
USA/WA-UW-2021041586177/2021,MZ240575.1
USA/WA-CDC-LC0344334/2021,OL396252.1
USA/WA-S5385/2020,MW773967.1
USA/WA-S16132/2022,OM296938.1
USA/WA-CDC-UW22052388493/2022,ON688966.1
USA/WA-CDC-FG-159119/2021,OL374308.1
USA/WA-UW-2021040305418/2021,MZ239081.1
USA/WA-UW-22032595906/2022,ON249328.1
USA/WA-PHL-023915/2022,PQ370664.1
USA/WA-CDC-UW21082021025/2021,OK095889.1
USA/WA-CDC-LC0620517/2022,ON544594.1
USA/WA-CDC-LC0514501/2022,OM625170.1
USA/WA-S12883/2021,OK647350.1
USA/WA-PHL-006362/2021,PQ172438.1
USA/WA-CDC-FG-096187/2021,OK068945.1
USA/WA-CDC-LC0317698/2021,OK534891.1
USA/WA-CDC-UW21081631841/2021,OK068287.1
USA/WA-CDC-LC0484127/2022,OM409902.1
USA/WA-PHL-024010/2022,PQ370741.1
USA/WA-UW-21120931510/2021,OM106032.1
USA/WA-CDC-UW23011961040/2023,OQ353034.1
USA/WA-S5247/2020,MW773853.1
USA/WA-S21447/2022,OP252781.1
USA/WA-UW-22053165871/2022,ON796428.1
USA/WA-CDC-UW21051232947/2021,MZ319682.1
USA/WA-UW171/2020,OR223318.1
USA/WA-PHL-018218/2022,OQ920508.1
USA/WA-PHL-010044/2022,PP631533.1
USA/WA-CDC-LC0385549/2021,OL684298.1
USA/WA-CDC-LC0311256/2021,OK522684.1
USA/WA-UW-21042203633/2021,MZ171953.1
USA/WA-CDC-LC0786462/2022,OP110090.1
USA/WA-CDC-UW23051046519/2023,OQ997377.1
USA/WA-S4505/2021,MW648026.2
USA/WA-UW-22091967622/2022,OP601959.1
USA/WA-S11340/2021,OK147292.1
USA/WA-CDC-LC0866348/2022,OP402017.1
USA/WA-CDC-FG-189913/2021,OL897726.1
USA/WA-PHL-018959/2022,OQ785511.1
USA/WA-CDC-UW21121343612/2021,OM004405.1
USA/WA-UW-21060834492/2021,MZ467869.1
USA/WA-CDC-LC0695694/2022,ON801089.1
USA/WA-PHL-013976/2022,PQ176292.1
USA/WA-CDC-UW22121786889/2022,OQ338896.1
USA/WA-UW-21051416634/2021,MZ394462.1
USA/WA-PHL-001722/2021,PP627874.1
USA/WA-PHL-006400/2021,PQ172473.1
USA/WA-S18147/2022,OM676151.1
USA/WA-PHL-028164/2020,PQ413051.1
USA/WA-UW-22011092692/2022,OM569721.1
USA/WA-PHL-019562/2022,OQ982157.1
USA/WA-UW-22071775107/2022,OP157031.1
USA/WA-CDC-UW21091024554/2021,OK399784.1
USA/WA-UW-22082329002/2022,OP458167.1
USA/WA-UW-21071225101/2021,MZ664446.1
USA/WA-CDC-LC0659694/2022,ON657208.1
USA/WA-CDC-UW21092102638/2021,OK379826.1
USA/WA-CDC-FG-082129/2021,MZ928918.1
USA/WA-CDC-UW21122184684/2021,OM188413.1
USA/WA-UW-22032993479/2022,ON249237.1
USA/WA-PHL-032907/2023,PQ386131.1
USA/WA-CDC-UW23010463400/2023,OQ271617.1
USA/WA-S9344/2021,MZ513807.1
USA/WA-S1765/2020,MT834022.1
USA/WA-UW-23011284536/2023,OQ377707.1
USA/WA-CDC-LC0340737/2021,OL327158.1
USA/WA-UW-2021040607946/2021,MZ238937.1
USA/WA-CDC-UW21090845959/2021,OK301374.1
USA/WA-S6807/2021,MZ127301.1
USA/WA-CDC-LC0601315/2022,ON465950.1
USA/WA-CDC-UW22031153874/2022,ON090531.1
USA/WA-PHL-010544/2021,PQ174671.1
USA/WA-CDC-LC0452910/2021,OM226865.1
USA/WA-CDC-UW21101183758/2021,OK640599.1
USA/WA-S19904/2022,ON521428.1
USA/WA-CDC-LC0355320/2021,OL486006.1
USA/WA-CDC-LC0499591/2022,OM497850.1
USA/WA-CDC-LC0471606/2022,OM367693.1
USA/WA-CDC-UW21101575664/2021,OK640759.1
USA/WA-UW-22041192687/2022,ON549990.1
USA/WA-UW-21062978472/2021,MZ603778.1
USA/WA-CDC-UW22071810751/2022,OP164906.1
USA/WA-S6864/2021,MZ127348.1
USA/WA-CDC-LC0724251/2022,ON894977.1
